Institution name,Title,Volume title,Volume,Issue,First page,Article number,Month,Year,url,additional information
King's College London,Bridging the Gap between Dielectric Nanophotonics and the Visible Regime with Effectively Lossless Gallium Phosphide Antennas,Nano Letters,17,2,1219,,January,2017.0,https://results2021.ref.ac.uk/outputs/2894b42b-7fd9-4975-81d5-4ea9c7b52560,-
Bangor University / Prifysgol Bangor,Broad tunable photonic microwave generation based on period-one dynamics of optical injection vertical-cavity surface-emitting lasers,Optics Express,25,17,19863,,August,2017.0,https://results2021.ref.ac.uk/outputs/01a4a33c-0d4e-42d7-86f0-9a897734b3fc,"This work led to colloborations with an industry partner, IQE, through Dr Iwan Davies (IDavies@IQEP.com), and demonstrated, for the the feasibility of using low-cost VCSELs to generate a broadly tunable microwave photonic signal generation. The work was underpinned by the Sêr Cymru National Research Network in Advanced Engineering and Materials (NRN158, PI: Hong, £59,901). The work lead to Hong leading a workpackage on (Digital Signal Processing centre, WEFO, PI: Tang, £6m, 2019-2023).  "
"Imperial College of Science, Technology and Medicine",Broadband single-photon-level memory in a hollow-core photonic crystal fibre,Nature Photonics,8,4,287,,March,2014.0,https://results2021.ref.ac.uk/outputs/9512ad08-369d-4974-ae7d-31d7077867bb,-
University of Southampton,Chalcogenide glass-on-graphene photonics,Nature Photonics,11,12,798,,October,2017.0,https://results2021.ref.ac.uk/outputs/34e7c4ef-66b3-46b8-8f99-6ad1940d50d1,"Emerging from a funded collaboration with MIT (EPSRC EP/H02607X/1) this work proposed then demonstrated the first hybrid device integrating graphene with chalcogenide glass, through an international collaboration including UK, USA, China.  Recognized as a key step for graphene commercialization (DOI: 10.1038/s41565-019-0555-2), the work led to device demonstrators; broadband polarizers, thermo-optic switches and mid-infrared photodetectors and modulators. A series of six invited international conference presentations followed, MRS (2017,2019), CLEO (2017), CLEO Europe (2017), SPIE (2019), ACERS (2020).  The work led to a significant workpackage on commercial scale synthesis of 2D materials in a 7-year EPSRC Photonics Manufacturing Hub (EP/N00762X/1 £10.2M)."
The University of Sheffield,Chirality of nanophotonic waveguide with embedded quantum emitter for unidirectional spin transfer,Nature Communications,7,1,-,11183,March,2016.0,https://results2021.ref.ac.uk/outputs/77a5c722-c54f-4c16-9943-c03106929ebc,-
Aberystwyth University / Prifysgol Aberystwyth,Chromaticity of structural color in polymer thin film photonic crystals,Optics Express,28,24,36219,410338,November,2020.0,https://results2021.ref.ac.uk/outputs/f6c10c77-9b33-4f4b-b4bc-0c06f1e59d0d,-
University of Glasgow,Coherently coupled photonic-crystal surface-emitting laser array,IEEE Journal of Selected Topics in Quantum Electronics,21,6,,4900307,November,2015.0,https://results2021.ref.ac.uk/outputs/2b9f5047-3b13-4190-9e1a-9ba94880d859,"Resulting from a Japan Society for the Promotion of Science Bridge Fellowship (BR150305) and IET Postgraduate Scholarship Award (https://www.theiet.org/impact-society/awards-scholarships/iet-postgraduate-research-awards/2020-winners/), the work led to a patent (PCT/GB2015/052440) licensed to Vector Photonics Ltd for high power array products and a patent (WO/2017/191320) for additive manufacturing licensed to Vector Photonics Ltd. The work underpinned iCURE and EPSRC Impact Acceleration Account (IAA) funding with key technologies now being commercialised by III-V Epi Ltd, as a joint venture with GSS Ltd  and CSTG.  Innovate UK (TS/V022237/1) and EUREKA (TS/V016148/1) funding is further supporting development. Vector Photonics, apply laser to additive manufacturing."
University of Exeter,Computational optical imaging with a photonic lantern,Nature Communications,11,1,,ARTN 5217,October,2020.0,https://results2021.ref.ac.uk/outputs/b252678c-3dd9-4003-82ef-ba66bbda1868,-
University of Strathclyde,Controllable spiking patterns in long-wavelength vertical cavity surface emitting lasers for neuromorphic photonics systems,Applied Physics Letters,107,,241103,241103,December,2015.0,https://results2021.ref.ac.uk/outputs/04d2afa5-e6f1-4161-bf21-b09da8be2ce6,-
King's College London,Deep-subwavelength features of photonic skyrmions in a confined electromagnetic field with orbital angular momentum,Nature Physics,15,7,650,,April,2019.0,https://results2021.ref.ac.uk/outputs/96335cf0-15be-45fe-b698-6325f1d174a2,-
Heriot-Watt University,Deep-ultraviolet to mid-infrared supercontinuum generated in solid-core ZBLAN photonic crystal fibre,Nature Photonics,9,2,133,,February,2015.0,https://results2021.ref.ac.uk/outputs/e6a723c4-9b67-4e56-94ae-04cf3be57f29,-
University of Aberdeen,Design and Analysis of Surface-Plasmon-Resonance-Based Photonic Quasi-Crystal Fiber Biosensor for High-Refractive-Index Liquid Analytes,IEEE Journal of Selected Topics in Quantum Electronics,25,2,,6900309,October,2018.0,https://results2021.ref.ac.uk/outputs/9c4fd550-f1e5-4dfb-b5e2-d50d8b4468d2,"This article describes the cross-sectional structural design of an optical sensor that uses photonic crystal fibre (PCF) and surface plasmon resonance (SPR).  This sensor design is very compact and hence suitable for medical endoscopic sensors.  This work was the main theme of Dr Suoda Chu PhD project supervised by KN. Already used by other reserach groups working in the area of SPR-based sensors, e.g. Islam et al, 2019; Yasli et al, 2020;  Monfared et al, 2021."
Staffordshire University,Design of a mid-infrared ultra-broadband chalcogenide Ge20Sb15Se65 -based single-polarization single-mode photonic crystal fiber with large nonlinearity,Optik,184,,50-62,,May,2019.0,https://results2021.ref.ac.uk/outputs/57b4fe7d-ad00-42c0-bef8-b1de457ad69f,"A new strip–slot hybrid waveguide with extreme large and flat dispersion over broad wavelength range was proposed.  The significance of the excellent dispersion performance is that it can be applied to on-chip ultrafast photonic signal processing for mid-IR optical fibre sensing, detection, imaging and monitoring.  This work resulted from a collaboration with the new Start Team at Xi’an University of Posts & Telecommunications, China and was funded by National Natural Science Fund of China (No: 61775180, 61772417, 61875165), the Shaanxi International Science and Technology Cooperation Program (No: 2017KW-027)."
London South Bank University,Design of optical time-division multiplexed systems using the cascaded four-wave mixing in a highly nonlinear photonic crystal fiber for simultaneous time demultiplexing and wavelength multicasting,Journal of Optics,17,7,1,,July,2015.0,https://results2021.ref.ac.uk/outputs/b5704d68-2ebb-4393-9831-cf84f6cf247c,"This paper presents a new design of OTDM systems that possess an important function of wavelength multicasting required by such applications as HD video-on-demand and video conferencing. Compared with other reported works, our proposed system has a simple configuration and uses only a single control-pulse light source and a short-length photonic crystal fibre for simultaneous time demultiplexing and wavelength multicasting. This paper also investigates, for the first time, the use of error-correcting codes for performance improvement of OTDM systems with simultaneous time demultiplexing and wavelength multicasting. It was based on international collaboration with XUPT in China.
"
University of Southampton,Device-level characterization of the flow of light in integrated photonic circuits using ultrafast photomodulation spectroscopy,Nature Photonics,9,,54,,November,2014.0,https://results2021.ref.ac.uk/outputs/797d970f-24b6-488a-a342-8fe0cb73e20e,"This collaboration within the £6 million EPSRC Programme grant (EP/L00044X/1), additional funding from EPSRC (EP/S008764 - £200,958), and a small Royal Society project between Southampton and Bordeaux, resulted in a novel non-destructive testing technique for photonic circuits. It led directly to four invited talks (PECS XII 2016; SPIE Optics and Photonics 2017; CLEO 2018; EOSAM 18). The collaboration between Reed and Muskens led to a further 6 publications in high impact journals (Optica, Nano Letters, Nature Communications,Optics Express). Bruck also obtained a senior position at a pioneering Silicon Photonics company, Luxtera (now Cisco)."
The University of Birmingham,Dielectric measurements of nanoliter liquids with a photonic crystal resonator at terahertz frequencies,Applied Physics Letters,107,3,,032903,July,2015.0,https://results2021.ref.ac.uk/outputs/113df0d8-91b2-4337-8a27-b1fea988a646,"This paper lays the foundation for new integrated lab-on-a-chip devices capable of analysing extremely small volumes of biological, toxic, explosive and other liquids using terahertz waves. It advances the state-of-the-art both in sensitivity and minimum sensing liquid volume (far below the usual diffraction-limited volume) while demonstrating a device that is readily integrated with electronics and mass produced. It led to the successful award of a follow-up EPSRC grant (EP/V001655/1, £390k), several invited international talks (SPIE in Japan and IEEE MTT-S in USA), and a collaboration between the University of Birmingham and Imperial College (e.g. DOI:10.1109/JERM.2019.2932569)."
University of Oxford,"Dip-pen patterning of poly(9,9-dioctylfluorene) chain-conformation-based nano-photonic elements",Nature Communications,6,1,1,ARTN 5977,January,2015.0,https://results2021.ref.ac.uk/outputs/129a2e04-16da-4804-ae24-0000858c0bca,"The research was the first to demonstrate and examine the benefits of sub-wavelength patterning of the conformation of semiconducting polymers. An earlier publication was the first to unambiguously verify that refractive changes take place upon a change in the conformation. The research further introduced and demonstrated the idea to spatially control the conformation, to propose and realise what can be classed as organic metamaterial, where the chemical components do not change yet through designed patterns new electronic and optical responses can emerge. The work has prompted further research and development of polymer materials exhibiting similar properties."
The University of Birmingham,Direct observation of topological surface-state arcs in photonic metamaterials,Nature Communications,8,,,97,July,2017.0,https://results2021.ref.ac.uk/outputs/e4a9f9b8-ed1d-403e-8ede-62ec60ddd99d,-
University of Exeter,Direct observation of topological surface-state arcs in photonic metamaterials,Nature Communications,8,1,,97 (2017),July,2017.0,https://results2021.ref.ac.uk/outputs/5f19069e-7424-4718-bae0-6ce9ce58d216,-
University of Cambridge,Direct observation of topological surface-state arcs in photonic metamaterials.,Nat Commun,8,1,97,ARTN 7,July,2017.0,https://results2021.ref.ac.uk/outputs/ffd9c97b-58b8-48ff-8302-abc4433a6ffa,-
Heriot-Watt University,Dissipatively Coupled Waveguide Networks for Coherent Diffusive Photonics,Nature Communications,8,,,1909,December,2017.0,https://results2021.ref.ac.uk/outputs/9f4ac8f8-6dcc-47f9-94ba-6c95487d6c6b,"In this work, using three-dimensional photonic networks, loss or dissipation was engineered making it possible to investigate the interaction of tight-binding chains with the environment/reservoir.   This publication was the basis for the  recent award of  £765k from the EU as part of the EU quantum flagship (https://qt.eu/about-quantum-flagship/projects/phog/ and https://www.st-andrews.ac.uk/~phog/phog4/ Grant no.  820365 - PhoG) as the project aims to use the approach demonstrated in the paper to generate entangled optical states for metrology applications."
University of Strathclyde,Distributed photonic instrumentation for power system protection and control,IEEE Transactions on Instrumentation and Measurement,64,1,19,,June,2014.0,https://results2021.ref.ac.uk/outputs/a1dc1960-2e56-4f68-a055-01b763e97629,"The concepts included in the paper were fundamental in shaping the strategy for the foundation of a high-growth University spin-out company ‘Synaptec Ltd’, leading to the conception of the whole range of products that Synaptec now provides (https://synapt.ec/, contact: Philip Orr), and to several patents including GB2575251A, WO2020002913A1, and GB2561821A (https://patents.google.com/patent/GB2575251A/en, https://patents.google.com/patent/WO2020002913A1/en?oq=WO2020002913A1, and https://patents.google.com/patent/GB2561821A/en). As of 2020, Synaptec Ltd has 13 full-time employees and external investment of £3M (https://www.businesscloud.co.uk/news/energy-tech-pioneer-secures-21-million/)."
The University of Leeds,Doping silica beyond limits with laser plasma for active photonic materials,Optical Materials Express,5,12,2849,,November,2015.0,https://results2021.ref.ac.uk/outputs/9412e8da-c78d-42e8-8e80-811246a8178a,"Pan-European collaboration reporting the highest doping of rare earth ions into silica for engineering planar integrated laser and amplifier devices. The new process was patented (PCT/GB2016/052512) and licensed to a Leeds spinout (www.op-vi.com) for commercial exploitation in display technology/photonics sectors. The research was progressed through £3.7M EPSRC projects (EP/M022854/1, EP/M015165/1) and led to a 2015 Leeds Postgraduate Researcher Award, an EU-H2020-MSC fellowship (MIRIPSHE-660508), the 2015 RSC Emerging Technologies award, and a follow on publication (https://doi.org/10.1063/1.5040947). In 2016, Xtera Communications (email on request) fully-funded a PhD studentship to exploit the technology for erbium-doped waveguide amplifiers for fibre optics communications."
The University of Liverpool,Dynamic homogenisation of Maxwell’s equations with applications to photonic crystals and localised waveforms on gratings,Wave Motion,69,,35,C,November,2016.0,https://results2021.ref.ac.uk/outputs/dc268fe0-1add-4157-9c6a-84fe2944e180,-
University of Bristol,Efficient fiber-coupled single-photon source based on quantum dots in a photonic-crystal waveguide,Optica,4,2,178,,January,2017.0,https://results2021.ref.ac.uk/outputs/03efe10e-16ad-4274-a742-7b51323cf1df,"Demonstrated an efficient fiber-coupled source with high coupling efficiency, bandwidth and stability. A spin-out from Prof. Lodahl's group, Sparrow Quantum, is commercialising quantum dot based single photon sources and the fiber-coupling technique used in this work is part of their development pipeline. Collaboration between Niels Bohr Institute, Denmark and National Institute of Standards and Technology, USA. Work fundamental for PI who subsequently developed a large scale photonic integrated circuits platform in GaAs (Jiang and Balram, Optics Express 2020). This led to collaborations with the University of Innsbruck on developing GaAs based nonlinear platforms securing £243k EPSRC grant (GASP, EP/V052179/1)."
University of Southampton,"Efficient high-harmonic generation from a stable and compact ultrafast Yb-fiber laser producing 100 micro-joule, 350 fs pulses based on bendable photonic-crystal fiber",Applied Physics B: Lasers and Optics,123,1,,43,January,2017.0,https://results2021.ref.ac.uk/outputs/c3989f64-1966-4f41-a57e-fd0867e3f441,"Record power conversion efficiency from 1060nm (Yb) to 30nm X-ray/UV region exploiting an in-house-developed ultrafast laser offering state-of-the-art performance in terms of pulse parameter/shape and spatial beam quality. The compact, industrially relevant drive laser led to several subsequent projects to study coherent combination of pulsed fibre laser systems: 5-year $1M US Air Force Office of Scientific Research FA9550-14-1-038; contributed to £650k EP/P012248/1 and Platform Grant EP/P027644/1. PhD student (Feehan) secured a position at Coherent Lasers (Scotland) to develop related technology and his PhD thesis won commendation from an IoP competition (https://www.iop.org/get-involved/special-interest-groups/quantum-electronics-photonics-group/doctoral-research-prize). Laser system development resulted in papers: 10.1109/JQE.2018.2850444 and 10.1364/OE.25.015402."
University of Bristol,Efficient Quantum Photonic Phase Shift in a Low Q-Factor Regime,ACS Photonics,6,2,429,,January,2019.0,https://results2021.ref.ac.uk/outputs/980f19d6-97b4-4701-a437-2b4a0aff1392,"The future quantum internet requires photonic switches that operate at the single photon level – this provides a component for such an internet, a deterministic switch for single photons. This work was the subject of an invited presentation at CLEO and formed the core chapter of a students PhD thesis – he is now in a post-doctoral role at Cardiff. This work was funded by a responsive mode grant and by a EPSRC research fellowship."
The University of Hull,Electrical control of nonlinear quantum optics in a nano-photonic waveguide,Optica,5,5,644,,May,2018.0,https://results2021.ref.ac.uk/outputs/acdb1251-6d3c-4df4-a5b2-c3d7323e6ab6,"Logic gates for quantum information processing are key elements of a quantum computer; these can be enacted using optical non-linearities at the single-photon level. In this paper, we demonstrate an optical non-linearity in a semiconductor nanophotonic device and experimentally confirm its quantum single-photon nature. The non-linearity is electrically controllable, tuneable and switchable; these are key requirements for an integrated quantum photonic device. The 40% record value of non-linearity obtained in our device offers a promising route to develop a scalable platform for the practical implementation of logic gates based on nano-photonics."
University of Southampton,Electrically controlled nanostructured metasurface loaded with liquid crystal : toward multifunctional photonic switch,Advanced Optical Materials,3,5,674,,January,2015.0,https://results2021.ref.ac.uk/outputs/19534613-e699-493b-9f15-59f794603e6d,-
University of Southampton,Electrically controlled nanostructured metasurface loaded with liquid crystal : toward multifunctional photonic switch,Advanced Optical Materials,3,5,674,,January,2015.0,https://results2021.ref.ac.uk/outputs/aa8d010c-13dc-4b76-be82-e609c6989f92,"With this work we were the first to engage the main switching modes of liquid crystals on the nanoscale, which fully unlocked their potential for application in nanophotonic devices. Our work has been recognised internationally leading to 3 invited and 1 keynote talks (PIERS'15, ICOOPMA'16, Nice Optics'16, RMS Photonic and Optoelectronic Materials'18). It has been followed by groups from Warsaw University of Technology (Janusz Parka), University at Buffalo (Natalia Litchinitser), Academia Sinica (Din Ping Tsai), ITMO University (Pavel Belov), and also Oculus (Lu Lu, llu@fb.com), Nitto (Sergey Simavoryan, sergey.simavoryan@nitto.com), NDIS Corporation (Soon-Bum Kwon, sbkwon@ndis.co.kr), who invited to visit and collaborate."
University of Bristol,Evidence of near-infrared partial photonic bandgap in polymeric rod-connected diamond structures,Optics Express,23,20,26565,,October,2015.0,https://results2021.ref.ac.uk/outputs/3e661888-f7cd-4d37-aec1-3464a01dfdb8,"This work was supported by my ERC fellowship (£2M) and later by standard mode EPSRC grant (EP/M009033/1). It is the first experimental demonstration of communications wavelength (1.55um) bandgaps in structures made using 3D two photon lithography. It also demonstrates a novel fourier microscopy technique developed in Bristol to visualise the bandstructure of a photonic crystal. This has led on to demonstration of full bandgap material that blocks the propoagation of light in all directions (ACS Photonics. 6, 1248 2019). End applications include single photon switching and cavity QED."
University of Cambridge,Evolutionary-Optimized Photonic Network Structure in White Beetle Wing Scales.,Adv Mater,30,19,e1702057,ARTN 1702057,June,2017.0,https://results2021.ref.ac.uk/outputs/a5833bc3-2833-4526-a8cb-a093ffdd0a37,-
The University of Hull,Excitonic optical Tamm states: a step towards a full molecular-dielectric photonic integration,ACS Photonics,3,5,743,,April,2016.0,https://results2021.ref.ac.uk/outputs/486a227a-fd83-40cb-957a-9738cbf45ff9,-
Bangor University / Prifysgol Bangor,Experimental observation of a photonic hook,Applied Physics Letters,114,3,031105,,January,2019.0,https://results2021.ref.ac.uk/outputs/0f204317-8305-4a3d-9348-52512ad4ef38,This work experimentally verifies the existence of a curved light beam - photonic hook which is the only other instance of curved light discovered to date apart from Airy beam. The top optics journal - Nature Photonics reported it in their News & Views. The international collaboration between Bangor University and Tomsk State University (Russia) was further strengthened and led to a UK-Russia travel exchange project funded by the Royal Society cost-share programme (IEC\R2\202040).
Heriot-Watt University,Experimental observation of Aharonov-Bohm cages in photonic lattices,Physical Review Letters,121,7,,075502,August,2018.0,https://results2021.ref.ac.uk/outputs/9e0c5866-6e0c-4c32-a3ef-60476befa6b1,-
Heriot-Watt University,Experimental observation of anomalous topological edge modes in a slowly-driven photonic lattice,Nature Communications,8,,,13918,January,2017.0,https://results2021.ref.ac.uk/outputs/8a6a32f7-b148-4d15-bf80-020b6a042117,-
University of Exeter,Experimental observation of photonic nodal line degeneracies in metacrystals,Nature Communications,9,1,,ARTN 950,March,2018.0,https://results2021.ref.ac.uk/outputs/abad0d60-de84-47c0-ac51-52e7f4f7f6d1,-
Cardiff University / Prifysgol Caerdydd,Experimental parametric study of 128 Gb/s PAM-4 transmission system using a multi-electrode silicon photonic Mach Zehnder modulator,Optics Express,25,12,13252,,June,2017.0,https://results2021.ref.ac.uk/outputs/47d978dd-5e46-42ed-a53a-95fc29df3494, 
"University of Nottingham, The",Experimental test of photonic entanglement in accelerated reference frames,Nature Communications,8,,1,15304,May,2017.0,https://results2021.ref.ac.uk/outputs/1a2d6d13-a5da-46a4-8e74-ddc1ff75bd9b,-
Aston University,Fabrication of surface nanoscale axial photonics structures with a femtosecond laser,Optics Letters,41,12,2795,,June,2016.0,https://results2021.ref.ac.uk/outputs/82d13481-6b29-4ce1-9bcc-c22015097fe0,"The technology, which was demonstrated in this paper for the first time, was further developed and found important applications (see e.g., Opt. Lett. 44, 5606 (2019) where a unique miniature optical delay line was demonstrated) and led to the launch of a new research direction at Wuhan National Laboratory, China (see, e.g., their recent publication in Opt. Lett. 46, 1005 (2021) where the universality of this technology enabling ultraprecise fabrication of microresonator devices with arbitrary profiles was demonstrated)."
The University of Manchester,Facile control of silica nanoparticles using a novel solvent varying method for the fabrication of artificial opal photonic crystals,Journal of Nanoparticle Research,18,,,387,December,2016.0,https://results2021.ref.ac.uk/outputs/ff2d55a9-5b6a-4fcd-8dec-586c7d7fdb11,"The research formed the basis of an invited book chapter in Advanced Materials and their Applications: Micro to Nano Scale (One Central Press, 2017). Owens gave an invited talk on the topic to The Society of Dyers and Colourists in 2020."
University of Cambridge,Flying particle sensors in hollow-core photonic crystal fibre,Nature Photonics,9,7,461,,June,2015.0,https://results2021.ref.ac.uk/outputs/359902a9-7678-4026-b54e-e1b7f3bd59a7,-
University of Oxford,Freely Scalable Quantum Technologies Using Cells of 5-to-50 Qubits with Very Lossy and Noisy Photonic Links,PHYSICAL REVIEW X,4,4,,ARTN 041041,December,2014.0,https://results2021.ref.ac.uk/outputs/34b7c63e-7755-4d20-80d9-b42868f70c1a,"This paper is a blueprint for a scalable quantum computer using a large number of small modules (relatively easy to manufacture) linked via fibre optics. This is radically different from routes pursued by e.g. Google and IBM, who aim to put all components on a single chip but face immense challenges with scaling. The paper defines the primary goal of the GBP40,000,000 UK National Quantum Technology Hub ""NQIT"" (EP/M013243/1 see NQIT.org), and was crucial in convincing the funding panel that the UK can take a unique and potentially world-beating approach to building quantum computers."
University of Bristol,GaAs1-xBix /GaNyAs1-y type-II quantum wells : novel strain-balanced heterostructures for GaAs-based near- & mid-infrared photonics,Scientific Reports,7,,,46371,April,2017.0,https://results2021.ref.ac.uk/outputs/96ba8391-5692-4baa-90b8-27025ff587d6,"This paper presents the first experiments and modelling of a combination of strain-balaned GaAsBi and GaNAs quantum wells. A type II quantum well system can be grown enabling the longest wavelength emission/absorption on a GaAs substrate to be predicted and experimentally observed. This approach opens-up 3 micron wavelength emission and sensing on a GaAs substrate: an important development in tunable emission and sensing research. I was invited to present this work at the Vertical Cavity Surface Emitting Lasers VCSEL workshop, Cardiff (2017), a 2D materials conference, France (2017) and the International Conference on Transparent Optical Networks, Spain (2017)."
University of Southampton,Heterogeneous integration for on-chip quantum photonic circuits with single quantum dot devices,Nature Communications,8,,,889,October,2017.0,https://results2021.ref.ac.uk/outputs/e36559e6-4684-4da2-b8f3-0f2079f6c19f,-
The University of Huddersfield,Hidden-sector photon and axion searches using photonic band gap structures,Journal of Physics G: Nuclear and Particle Physics,41,3,,035005,February,2014.0,https://results2021.ref.ac.uk/outputs/555b9866-be53-4655-91a1-8cf3ac42baff,"Electromagnetic wave(photons) are the basis of mobile technologies. Internationally the search for photon transport not predicted by current theory is underway, discover could lead to new technologies. This paper proposes an experiment to search for “hidden” photon transport mechanism, in a regime that other search techniques cannot probe, using a photonic lattice. Implementation of the approach is being examined at Stanford and Melbourne. The paper contributed to the new UK-USA collaboration with ADMX, and helped one of the authors secured £597k (ST/T006102/1) to support the UK-USA collaboration."
The University of Lancaster,Hidden-sector photon and axion searches using photonic band gap structures,Journal of Physics G: Nuclear and Particle Physics,41,3,,035005,February,2014.0,https://results2021.ref.ac.uk/outputs/b8425eca-9a2a-4c0c-898c-f6934d8d93bd,-
